ASR_Parakeet-CTC-Riva-1.1b,nim/nvidia/parakeet-ctc-1.1b-asr:1.0.0
Eye_Contact,nim/nvidia/maxine-eye-contact:1.0.0
meta-llama-2-70b-chat,nim/meta/llama-2-70b-chat:1.0.3
Mistral-NeMo-Minitron-8B-Instruct,nim/nv-mistralai/mistral-nemo-minitron-8b-8k-instruct:1.2.3
CodeLlama-13B-Instruct,nim/meta/codellama-13b-instruct:1.2.2
Mixtral-8x7B-Instruct-v0.1,nim/mistralai/mixtral-8x7b-instruct-v01:1.2.1
Nemotron-4-340B-Reward,nim/nvidia/nemotron-4-340b-reward:1.2.0
CodeLlama-34B-Instruct,nim/meta/codellama-34b-instruct:latest
Llama-3-Taiwan-70B-Instruct,nim/yentinglin/llama-3-taiwan-70b-instruct:latest
Mistral-7B-Instruct-v0.3,nim/mistralai/mistral-7b-instruct-v0.3:latest
Meta/Llama3-70b-instruct,nim/meta/llama3-70b-instruct:1.0.3
AlphaFold2-Multimer,nim/deepmind/alphafold2-multimer:1.0.0
Llama-3.1-8b-instruct,nim/meta/llama-3.1-8b-instruct:1.2.2
NVIDIA_Retrieval_QA_Mistral_4B_Reranking_v3,nim/nvidia/nv-rerankqa-mistral-4b-v3:1.0.2
Mixtral-8x22B-Instruct-v0.1,nim/mistralai/mixtral-8x22b-instruct-v01:1.2.2
nemotron-4-340b-instruct,nim/nvidia/nemotron-4-340b-instruct:1.1.2
MolMIM,nim/nvidia/molmim:1.0.0
ProteinMPNN,nim/ipd/proteinmpnn:1
Phind-CodeLlama-34B-v2-Instruct,nim/phind/phind-codellama-34b-v2-instruct:1.2.3
NV-CLIP,nim/nvidia/nvclip:1.0.0
CodeLlama-70B-Instruct,nim/meta/codellama-70b-instruct:1.2.2
Llama-3.1-8b-base,nim/meta/llama-3.1-8b-base:1.1.2
NMT_Megatron_Riva_1b,nim/nvidia/megatron-1b-nmt:1.0.0
NVIDIA_Retrieval_QA_E5_Embedding_v5,nim/nvidia/nv-embedqa-e5-v5:1.1.0
Llama-3.1-70b-instruct,nim/meta/llama-3.1-70b-instruct:1.2
Llama-3-Swallow-70B-Instruct-v0.1,nim/tokyotech-llm/llama-3-swallow-70b-instruct-v0.1:latest
Earth-2_CorrDiff,nim/nvidia/corrdiff:1.0.0
Mistral-Nemo-12B-Instruct,nim/nv-mistralai/mistral-nemo-12b-instruct:1.2
Earth-2_FourCastNet,nim/nvidia/fourcastnet:1.0.0
Phi-3-Mini-4K-Instruct,nim/microsoft/phi-3-mini-4k-instruct:1.2.3
TTS_FastPitch_HifiGAN_Riva,nim/nvidia/fastpitch-hifigan-tts:1.0.0
AlphaFold2,nim/deepmind/alphafold2:latest
Llama-3.1-Nemotron-70B-Instruct,nim/nvidia/llama-3.1-nemotron-70b-instruct:1.2
RFdiffusion,nim/ipd/rfdiffusion:2
meta-llama-2-7b-chat,nim/meta/llama-2-7b-chat:1.0.3
Meta/Llama3-8b-instruct,nim/meta/llama3-8b-instruct:1.0.3
meta-llama-2-13b-chat,nim/meta/llama-2-13b-chat:1.0.3
NVIDIA_Retrieval_QA_Mistral_7B_Embedding_v2,nim/nvidia/nv-embedqa-mistral-7b-v2:1.0.1
Snowflake_Arctic_Embed_Large_Embedding,nim/snowflake/arctic-embed-l:1.0.1
Llama-3.1-405b-instruct,nim/meta/llama-3.1-405b-instruct:1.2.0
Llama-3-SQLCoder-8B,nim/defog/llama-3-sqlcoder-8b:latest
DiffDock,nim/mit/diffdock:2
